from,to,weight,relationship,time,,
drafa,frdes,3,2,2,4,1956
frdes,drafa,3,2,2,4,1956
drafa,nili,3,2,2,4,1967
nili,drafa,3,2,2,4,1967
drafa,dobr,3,2,2,4,1974
dobr,drafa,3,2,2,4,1974
drafa,pemi,3,2,2,4,1984
pemi,drafa,3,2,2,4,1984
lufa,drafa,3,2,2,4,1930
defa,drafa,3,2,2,4,1930
gefa,drafa,3,2,2,4,1930
mafa,drafa,3,2,2,4,1930
drafa,drafa,3,2,2,4,1930
trfa,drafa,3,2,2,4,1930
drafa,lufa,3,2,2,4,1930
drafa,defa,3,2,2,4,1930
drafa,gefa,3,2,2,4,1930
drafa,mafa,3,2,2,4,1930
drafa,drafa,3,2,2,4,1930
drafa,trfa,3,2,2,4,1930
trfa,igan,3,2,2,4,1920
igan,trfa,3,2,2,4,1920
trfa,satrs,3,2,2,4,1940
satrs,trfa,3,2,2,4,1940
trfa,satr,3,2,2,4,1954
satr,trfa,3,2,2,4,1954
trfa,lufa,3,2,2,4,1930
trfa,defa,3,2,2,4,1930
trfa,gefa,3,2,2,4,1930
trfa,mafa,3,2,2,4,1930
trfa,drafa,3,2,2,4,1930
lufa,trfa,3,2,2,4,1930
defa,trfa,3,2,2,4,1930
gefa,trfa,3,2,2,4,1930
mafa,trfa,3,2,2,4,1930
drafa,trfa,3,2,2,4,1930
